연월일,시분초,온도,습도,강수량,풍향
2022-10-07,10:34:07,19℃,습도63%,강수량0mm,풍향 남서 4.4 m/s
2022-10-07,10:34:08,19℃,습도63%,강수량0mm,풍향 남서 4.4 m/s
2022-10-07,10:34:10,19℃,습도63%,강수량0mm,풍향 남서 4.4 m/s
2022-10-07,10:34:11,19℃,습도63%,강수량0mm,풍향 남서 4.4 m/s
2022-10-07,10:34:12,19℃,습도63%,강수량0mm,풍향 남서 4.4 m/s
2022-10-07,10:34:13,19℃,습도63%,강수량0mm,풍향 남서 4.4 m/s
2022-10-07,10:34:15,19℃,습도63%,강수량0mm,풍향 남서 4.4 m/s
2022-10-07,10:34:16,19℃,습도63%,강수량0mm,풍향 남서 4.4 m/s
2022-10-07,10:34:17,19℃,습도63%,강수량0mm,풍향 남서 4.4 m/s
2022-10-07,10:34:19,19℃,습도63%,강수량0mm,풍향 남서 4.4 m/s
